customer_id;full_name;registration_date;city;first_touch_channel
200119;Гусев Денис Павлович;2023-04-13;Тюмень;Organic
200120;Капустин Вероника Михайловна;2023-01-25;Екатеринбург;VK Ads
200121;Жуков Роман Павлович;2024-02-04;Уфа;Organic
200122;Саркисян Юрий Викторович;2024-07-23;Златоуст;Organic
200123;Ковалёв Максим Викторович;2023-04-17;Курган;Organic
200124;Саркисян Зарина Андреевна;2024-07-01;Москва;Direct
200125;Акопян Евгений Сергеевна;2024-04-19;Челябинск;Organic
200126;Быков Вера Андреевна;2023-08-16;Копейск;Direct
200127;Максимов Кирилл Александровна;2023-05-07;Ижевск;Direct
200128;Голубев Карен Викторович;2024-01-16;Казань;Direct
200129;Шарипов Алексей Алексеевич;2024-06-16;Челябинск;VK Ads
200130;Щербаков Максим Юрьевич;2024-01-08;Самара;Yandex Ads
200131;Михайлов Ярослав Андреевич;2024-02-22;Казань;Organic
200132;Власов Александр Романовна;2023-03-06;Москва;Direct
200133;Андреев Егор Владимировна;2023-05-10;Копейск;Direct
200134;Ахметжанов Ольга Андреевна;2023-07-22;Миасс;Organic
200135;Щербаков Лилия Сергеевна;2023-03-21;Копейск;Direct
200136;Богданов Арсен Романович;2023-11-11;Екатеринбург;VK Ads
200137;Кузнецов Кристина Игоревна;2024-07-15;Копейск;Referral
200138;Богданов Алина Михайлович;2023-12-29;Уфа;Organic
200139;Поляков Павел Николаевна;2023-11-28;Копейск;Yandex Ads
200140;Михайлов Глеб Дмитриевич;2023-03-14;Челябинск;Direct
200141;Исмаилов Карен Сергеевич;2024-01-19;Магнитогорск;Yandex Ads
200142;Белов Дарья Викторович;2023-08-02;Самара;Organic
200143;Мкртчян Амина Юрьевич;2023-06-29;Тюмень;Direct
200144;Попов Руслан Игоревна;2023-08-29;Нижневартовск;VK Ads
200145;Егоров Амина Игоревич;2024-01-28;Копейск;Organic
200146;Захаров Антон Михайловна;2023-04-30;Москва;Yandex Ads
200147;Мартиросян Ярослав Романович;2023-02-03;Оренбург;Telegram
200148;Юсупов Кирилл Евгеньевич;2023-12-27;Новосибирск;Direct
200149;Логинов Игорь Ивановна;2023-09-26;Магнитогорск;Direct
200150;Маслов Виктор Сергеевна;2024-06-01;Курган;VK Ads
200151;Яковлев Константин Михайлович;2023-05-25;Курган;Yandex Ads
200152;Ершов Игорь Владимирович;2024-02-27;Миасс;VK Ads
200153;Шин Лилия Юрьевна;2024-02-04;Уфа;VK Ads
200154;Мкртчян Евгения Иванович;2023-04-02;Челябинск;Yandex Ads
200155;Морозов Ольга Сергеевич;2024-03-13;Челябинск;Organic
200156;Васильев Руслан Павлович;2024-08-09;Челябинск;Telegram
200157;Сорокин Диана Романович;2024-05-09;Магнитогорск;Direct
200158;Степанов Роман Павлович;2023-01-03;Курган;Direct
200159;Шин Олег Олегович;2023-06-05;Челябинск;Direct
200160;Герасимов Айгуль Юрьевич;2023-09-07;Новосибирск;Organic
200161;Комаров Гузель Романовна;2023-03-09;Магнитогорск;Organic
200162;Матвеев Эмиль Дмитриевна;2023-06-16;Екатеринбург;Telegram
200163;Ибрагимов Денис Дмитриевич;2023-11-11;Челябинск;Email
200164;Лебедев Вадим Игоревич;2023-09-05;Москва;Direct
200165;Ахметжанов Валерия Романовна;2023-12-04;Челябинск;Organic
200166;Омаров Ксения Дмитриевич;2023-12-24;Оренбург;Direct
200167;Маслов Ольга Игоревич;2023-07-14;Тюмень;Organic
200168;Пономарёв Кристина Алексеевич;2023-10-26;Миасс;Direct
200169;Егоров Борис Владимировна;2023-10-10;Златоуст;Yandex Ads
200170;Баранов Владимир Юрьевна;2023-02-24;Тюмень;Organic
200171;Попов Алексей Михайловна;2023-07-16;Челябинск;Direct
200172;Кузьмин Руслан Игоревич;2023-09-10;Копейск;Organic
200173;Сеитов Софья Александровна;2024-07-07;Челябинск;Yandex Ads
200174;Максимов Олег Михайловна;2024-06-02;Копейск;Organic
200175;Нуриев Анастасия Викторович;2023-11-30;Курган;Direct
200176;Григорян Илья Антонович;2023-03-31;Челябинск;Organic
200177;Иванов Екатерина Сергеевна;2023-06-04;Ижевск;Direct
200178;Абрамян Ольга Николаевич;2023-10-27;Тюмень;Yandex Ads
200179;Мухаметшин Руслан Игоревна;2023-05-05;Москва;Telegram
200180;Гасанов Ярослав Антонович;2024-05-16;Казань;Telegram
200181;Яковлев Олег Сергеевна;2024-01-13;Миасс;Email
200182;Мкртчян Борис Павловна;2023-04-12;Копейск;Direct
200183;Мухаметшин Владимир Александровна;2024-05-11;Копейск;Organic
200184;Шин Вероника Алексеевна;2024-06-25;Челябинск;Direct
200185;Белов Олег Александрович;2023-08-31;Уфа;Referral
200186;Беляев Игорь Владимирович;2024-03-13;Курган;Referral
200187;Мухаметшин Глеб Николаевич;2023-04-12;Нижневартовск;Email
200188;Куликов Милана Сергеевич;2023-04-13;Пермь;VK Ads
200189;Щербаков Валерий Ивановна;2023-11-17;Уфа;Organic
200190;Никитин Ольга Алексеевна;2023-03-16;Уфа;Referral
200191;Ибрагимов Антон Алексеевич;2023-09-07;Копейск;Referral
200192;Кудрявцев Марат Павловна;2024-02-21;Екатеринбург;Telegram
200193;Орлов Татьяна Дмитриевна;2023-01-23;Челябинск;Yandex Ads
200194;Белов Кристина Дмитриевич;2024-07-06;Челябинск;Email
200195;Щербаков Николай Михайловна;2023-09-17;Челябинск;Direct
200196;Нуржанов Карен Антонович;2023-01-11;Пермь;Yandex Ads
200197;Бондаренко Полина Викторовна;2023-09-30;Новосибирск;Organic
200198;Соколов Гузель Михайлович;2024-07-25;Нижневартовск;Referral
200199;Алексеев Зарина Павлович;2023-10-08;Уфа;Yandex Ads
200200;Сорокин Полина Михайлович;2024-03-30;Челябинск;Yandex Ads
200201;Морозов Наталья Ивановна;2023-04-14;Тюмень;Organic
200202;Савченко Никита Олегович;2023-08-24;Челябинск;Direct
200203;Соболев Даниил Игоревна;2024-05-15;Тюмень;Yandex Ads
200204;Зайцев Артём Дмитриевна;2023-03-26;Челябинск;Email
200205;Жумабаев Элина Михайловна;2024-05-28;Челябинск;Referral
200206;Фролов Тигран Сергеевич;2024-06-24;Курган;Yandex Ads
200207;Власов Олег Олегович;2023-04-23;Челябинск;Telegram
200208;Соболев Аделина Сергеевна;2023-04-21;Миасс;VK Ads
200209;Пономарёв Элина Викторовна;2024-02-08;Челябинск;Direct
200210;Виноградов Борис Викторович;2023-11-21;Челябинск;Direct
200211;Гарипов Милана Игоревич;2024-03-11;Челябинск;VK Ads
200212;Сафонов Вера Дмитриевич;2024-05-06;Нижневартовск;Telegram
200213;Захаров Виктор Евгеньевич;2024-07-18;Челябинск;VK Ads
200214;Ибрагимов Евгений Павловна;2023-07-16;Челябинск;Organic
200215;Акопян Георгий Павлович;2023-10-07;Пермь;Direct
200216;Рахимов Максим Александровна;2024-08-25;Екатеринбург;Yandex Ads
200217;Смирнов Станислав Романович;2023-02-05;Копейск;VK Ads
200218;Орлов Ирина Юрьевич;2023-06-30;Санкт-Петербург;VK Ads
200219;Пак Константин Сергеевна;2023-10-25;Магнитогорск;Direct
200220;Пак Оксана Юрьевич;2023-12-15;Самара;Yandex Ads
200221;Шарипов Анастасия Алексеевич;2023-01-03;Копейск;Organic
200222;Сергеев Амина Антонович;2023-01-18;Москва;Telegram
200223;Мартиросян Оксана Дмитриевна;2024-08-16;Челябинск;Organic
200224;Рахимов Глеб Викторовна;2024-05-30;Челябинск;Organic
200225;Петросян Юрий Алексеевич;2024-07-24;Челябинск;Organic
200226;Иванов Карен Игоревич;2023-10-25;Санкт-Петербург;Organic
200227;Королёв Михаил Андреевич;2024-07-30;Копейск;Yandex Ads
200228;Пак Кристина Алексеевич;2023-08-05;Пермь;Email
200229;Захаров Юрий Александрович;2024-08-12;Челябинск;Direct
200230;Семёнов Антон Дмитриевич;2024-01-19;Копейск;Organic
200231;Шарипов Георгий Антонович;2024-06-30;Челябинск;Yandex Ads
200232;Денисов Ирина Николаевна;2023-11-12;Челябинск;Direct
200233;Ахметов Илья Олегович;2023-08-18;Пермь;Organic
200234;Мельник Даниил Андреевич;2023-01-11;Москва;Yandex Ads
200235;Соловьёв Валерий Алексеевна;2023-09-26;Екатеринбург;Organic
200236;Ким Карина Павловна;2024-08-13;Екатеринбург;Organic
200237;Власов Егор Алексеевна;2024-06-11;Екатеринбург;Direct
200238;Смирнов Егор Дмитриевна;2024-03-27;Челябинск;Organic
200239;Новиков Юлия Андреевна;2023-02-06;Челябинск;Telegram
200240;Яковлев Борис Андреевич;2023-02-03;Екатеринбург;Yandex Ads
200241;Хасанов Карен Владимирович;2024-07-31;Челябинск;VK Ads
200242;Михайлов Алексей Михайлович;2024-08-01;Екатеринбург;Email
200243;Гусев Дарья Дмитриевич;2024-02-20;Тюмень;Organic
200244;Маслов Маргарита Юрьевич;2023-02-17;Челябинск;Yandex Ads
200245;Петросян Татьяна Дмитриевич;2023-02-23;Пермь;Referral
200246;Валеев Дмитрий Андреевна;2023-10-16;Екатеринбург;Yandex Ads
200247;Ершов Михаил Игоревич;2023-11-23;Казань;Direct
200248;Кудрявцев Элина Романович;2024-05-11;Челябинск;Direct
200249;Валеев Ольга Сергеевна;2024-08-13;Челябинск;Organic
200250;Хабибуллин Ольга Олеговна;2024-08-18;Магнитогорск;Direct
200251;Пак Светлана Игоревна;2023-12-22;Копейск;Yandex Ads
200252;Алексеев Элина Евгеньевна;2024-08-10;Москва;Organic
200253;Белов Айгуль Александрович;2023-02-04;Челябинск;Yandex Ads
200254;Филатов Карина Романович;2024-08-28;Курган;Direct
200255;Капустин Вероника Владимирович;2024-04-06;Челябинск;Direct
200256;Гусев Полина Владимирович;2024-06-14;Екатеринбург;VK Ads
200257;Цой Вера Евгеньевна;2024-06-09;Челябинск;Organic
200258;Куликов Светлана Николаевна;2023-12-29;Златоуст;VK Ads
200259;Воробьёв Мария Николаевна;2024-01-04;Копейск;Organic
200260;Нуриев Глеб Олегович;2023-09-09;Екатеринбург;Direct
200261;Павлов Лилия Дмитриевич;2024-02-28;Миасс;Organic
200262;Соловьёв Гузель Дмитриевич;2023-08-11;Челябинск;Organic
200263;Медведев Игорь Игоревич;2024-06-22;Санкт-Петербург;Telegram
200264;Тен Яна Олеговна;2023-09-02;Копейск;Referral
200265;Комаров Вера Александровна;2023-02-14;Челябинск;Direct
200266;Кравченко Артём Ивановна;2024-02-25;Челябинск;Organic
200267;Коваленко Алина Евгеньевич;2024-01-11;Казань;VK Ads
200268;Пономарёв Антон Олегович;2024-04-19;Челябинск;Organic
200269;Власов Вероника Андреевич;2023-08-30;Копейск;Email
200270;Ткаченко Павел Андреевич;2023-05-21;Курган;VK Ads
200271;Омаров Михаил Александровна;2023-01-01;Челябинск;Yandex Ads
200272;Хасанов Егор Иванович;2024-02-26;Магнитогорск;Yandex Ads
200273;Филатов Георгий Алексеевич;2024-04-11;Самара;Telegram
200274;Кузнецов Виктор Павловна;2023-08-29;Челябинск;Yandex Ads
200275;Куликов Светлана Романовна;2023-08-18;Челябинск;Referral
200276;Павлов Артём Ивановна;2024-04-30;Челябинск;Organic
200277;Яковлев Даниил Андреевич;2023-04-21;Златоуст;Direct
200278;Денисов Лейла Антонович;2023-03-30;Казань;Organic
200279;Васильев Владимир Александрович;2023-08-23;Копейск;Yandex Ads
200280;Сафонов Георгий Алексеевич;2023-06-11;Челябинск;Organic
200281;Козлов Егор Романовна;2024-05-11;Челябинск;Organic
200282;Андреев Дарья Александровна;2024-04-26;Челябинск;Organic
200283;Наумов Сергей Олеговна;2023-12-13;Тюмень;Direct
200284;Киселёв Софья Павлович;2023-06-27;Челябинск;Yandex Ads
200285;Богданов Карен Павловна;2024-04-04;Новосибирск;Email
200286;Власов Георгий Александрович;2024-06-12;Екатеринбург;Organic
200287;Кадыров Аделина Александровна;2023-08-20;Магнитогорск;Direct
200288;Петросян Милана Сергеевич;2024-01-01;Копейск;Organic
200289;Рябов Глеб Дмитриевна;2024-03-04;Москва;Yandex Ads
200290;Мирзоян Сергей Олегович;2024-04-11;Курган;Email
200291;Соловьёв Константин Сергеевна;2023-11-11;Пермь;Direct
200292;Мкртчян Игорь Михайлович;2023-04-27;Екатеринбург;VK Ads
200293;Мартиросян Владимир Игоревна;2023-05-13;Миасс;Referral
200294;Пономарёв Полина Владимировна;2023-05-12;Нижневартовск;Yandex Ads
200295;Валеев Илья Ивановна;2024-03-17;Москва;Organic
200296;Волков Евгения Николаевна;2023-07-10;Миасс;Direct
200297;Голубев Лилия Юрьевич;2023-05-30;Пермь;Direct
200298;Цветков Полина Николаевна;2023-12-09;Нижневартовск;Direct
200299;Данилов Юлия Антонович;2023-09-14;Уфа;Telegram
200300;Логинов Антон Евгеньевич;2024-07-13;Златоуст;Referral
200301;Романов Мария Иванович;2024-05-26;Тюмень;Organic
200302;Григорьев Евгений Николаевна;2023-07-10;Челябинск;Telegram
200303;Михайлов Арсен Алексеевна;2023-09-18;Златоуст;VK Ads
200304;Лебедев Андрей Иванович;2024-05-27;Челябинск;Telegram
200305;Егоров Павел Ивановна;2023-01-01;Тюмень;Organic
200306;Герасимов Константин Антонович;2023-08-08;Уфа;VK Ads
200307;Нуриев Кирилл Павловна;2023-04-23;Челябинск;Direct
200308;Романов Андрей Дмитриевич;2024-04-17;Златоуст;Organic
200309;Андреев Дарья Михайлович;2024-04-20;Уфа;VK Ads
200310;Яковлев Руслан Викторович;2023-06-09;Челябинск;VK Ads
200311;Сорокин Олег Сергеевна;2024-08-02;Москва;Email
200312;Жумабаев Ольга Олеговна;2024-08-19;Москва;Direct
200313;Нуриев Яна Дмитриевна;2024-04-30;Челябинск;VK Ads
200314;Савченко Валерий Михайловна;2024-03-13;Санкт-Петербург;Direct
200315;Тулеев Сергей Павлович;2024-08-14;Челябинск;Referral
200316;Фролов Егор Романовна;2023-01-19;Казань;Email
200317;Соловьёв Борис Андреевич;2024-06-01;Копейск;Direct
200318;Титов Илья Игоревич;2023-03-01;Челябинск;VK Ads
200319;Орлов Тигран Сергеевич;2024-04-07;Челябинск;Organic
200320;Юн Никита Дмитриевна;2024-05-28;Оренбург;Direct
200321;Лазарев Виктор Николаевна;2024-05-01;Челябинск;Yandex Ads
200322;Мамедов Анастасия Иванович;2024-06-12;Челябинск;Direct
200323;Каримов Марат Павлович;2024-08-13;Челябинск;VK Ads
200324;Баранов Лилия Ивановна;2024-02-03;Тюмень;Yandex Ads
200325;Назаров Георгий Александровна;2023-03-19;Екатеринбург;Organic
200326;Захаров Амина Евгеньевич;2023-02-03;Копейск;Organic
200327;Цой Диана Александровна;2024-01-23;Челябинск;Direct
200328;Садыков Даниил Владимировна;2023-04-25;Челябинск;Organic
200329;Каримов Динара Николаевич;2023-06-26;Екатеринбург;Organic
200330;Поляков Елена Владимировна;2023-02-20;Пермь;VK Ads
200331;Ткаченко Марат Сергеевна;2023-09-17;Магнитогорск;Yandex Ads
200332;Лазарев Мария Игоревич;2023-04-29;Уфа;Referral
200333;Петров Георгий Николаевич;2023-08-22;Миасс;Organic
200334;Саркисян Алексей Дмитриевич;2023-03-29;Челябинск;Direct
200335;Жумабаев Вера Антонович;2024-05-19;Казань;Yandex Ads
200336;Омаров Ксения Евгеньевна;2024-05-29;Ижевск;Organic
200337;Павлов Игорь Дмитриевич;2024-06-18;Челябинск;Direct
200338;Орлов Виктория Евгеньевич;2023-03-01;Миасс;Yandex Ads
200339;Ким Марат Николаевич;2023-03-22;Тюмень;Yandex Ads
200340;Власов Артём Николаевич;2023-11-08;Златоуст;Organic
200341;Назаров Илья Андреевна;2023-06-02;Санкт-Петербург;Yandex Ads
200342;Мирзоян Валерий Ивановна;2024-02-09;Магнитогорск;VK Ads
200343;Данилов Наталья Александрович;2023-07-16;Челябинск;Yandex Ads
200344;Белов Антон Игоревич;2023-11-25;Копейск;Yandex Ads
200345;Виноградов Айгуль Александрович;2023-07-08;Екатеринбург;Organic
200346;Макаров Михаил Павлович;2023-03-02;Магнитогорск;Direct
200347;Ершов Эмиль Николаевна;2024-07-18;Оренбург;Direct
200348;Григорян Ирина Евгеньевна;2024-02-27;Челябинск;Yandex Ads
200349;Саркисян Артём Владимировна;2024-07-26;Миасс;Referral
200350;Юсупов Тигран Евгеньевич;2023-04-21;Сургут;Direct
200351;Афанасьев Виктория Сергеевич;2023-09-06;Челябинск;VK Ads
200352;Жуков Юлия Евгеньевич;2023-07-25;Челябинск;Organic
200353;Тулеев Александр Михайловна;2023-10-08;Магнитогорск;Yandex Ads
200354;Хасанов Анастасия Николаевич;2023-09-17;Челябинск;Yandex Ads
200355;Власов Михаил Антонович;2024-07-23;Магнитогорск;Yandex Ads
200356;Логинов Вероника Игоревич;2023-03-13;Златоуст;Direct
200357;Воробьёв Борис Михайлович;2023-02-19;Ижевск;Direct
200358;Быков Павел Дмитриевич;2023-11-18;Магнитогорск;VK Ads
200359;Смирнов Виктор Викторовна;2024-06-26;Челябинск;Yandex Ads
200360;Сеитов Яна Сергеевна;2023-01-09;Екатеринбург;Direct
200361;Бондаренко Сергей Александрович;2023-12-07;Казань;Referral
200362;Омаров Руслан Иванович;2024-05-06;Москва;Yandex Ads
200363;Смирнов Николай Антонович;2023-08-27;Челябинск;Yandex Ads
200364;Куликов Егор Юрьевна;2024-07-01;Курган;Referral
200365;Кудрявцев Ирина Романович;2023-01-10;Тюмень;Organic
200366;Макаров Вероника Юрьевна;2023-05-24;Челябинск;Yandex Ads
200367;Бекетов Елена Евгеньевна;2024-05-21;Миасс;Referral
200368;Нуржанов Екатерина Юрьевна;2023-04-09;Челябинск;VK Ads
200369;Морозов Ярослав Николаевич;2023-07-27;Челябинск;Yandex Ads
200370;Алексеев Кристина Алексеевна;2024-05-02;Магнитогорск;Organic
200371;Шарипов Максим Алексеевич;2023-09-23;Миасс;VK Ads
200372;Сеитов Антон Михайлович;2023-11-27;Челябинск;Yandex Ads
200373;Виноградов Антон Владимировна;2024-07-11;Челябинск;VK Ads
200374;Цой Тимур Александровна;2023-03-29;Челябинск;Direct
200375;Виноградов Сергей Иванович;2024-07-21;Челябинск;Organic
200376;Цветков Тигран Николаевна;2024-06-26;Москва;Yandex Ads
200377;Миронов Валерий Ивановна;2023-03-01;Уфа;Organic
200378;Омаров Кристина Юрьевич;2023-04-05;Копейск;Telegram
200379;Гончаренко Даниил Николаевич;2023-04-29;Москва;Email
200380;Тарасов Михаил Владимировна;2024-07-14;Челябинск;Organic
200381;Петросян Роман Сергеевна;2024-05-12;Москва;Yandex Ads
200382;Каримов Самвел Сергеевна;2023-11-24;Магнитогорск;Referral
200383;Ахметжанов Евгения Антонович;2023-03-27;Копейск;VK Ads
200384;Ахметов Эмиль Юрьевич;2023-10-16;Екатеринбург;Email
200385;Щербаков Антон Дмитриевич;2024-06-09;Екатеринбург;Yandex Ads
200386;Баранов Сергей Павловна;2024-03-24;Челябинск;VK Ads
200387;Оганесян Виктор Владимирович;2023-12-31;Миасс;Organic
200388;Гасанов Тигран Юрьевна;2023-10-08;Екатеринбург;Organic
200389;Ли Алёна Игоревна;2023-12-10;Миасс;Yandex Ads
200390;Белов Валерий Викторович;2024-05-06;Копейск;Organic
200391;Григорян Валерий Михайлович;2024-08-21;Челябинск;VK Ads
200392;Фомин Элина Андреевна;2023-07-30;Челябинск;Telegram
200393;Сергеев Ярослав Дмитриевич;2023-02-26;Казань;Yandex Ads
200394;Ахметов Арсен Павлович;2023-05-25;Курган;Organic
200395;Цой Вероника Романович;2023-11-09;Златоуст;VK Ads
200396;Киселёв Фёдор Павлович;2023-04-19;Челябинск;Yandex Ads
